DATE,CLOSESPX,OPENSPX,HIGHSPX,LOWSPX,CLOSEVIX,OPENVIX,HIGHVIX,LOWVIX,CLOSETLT,OPENTLT,HIGHTLT,LOWTLT,VOLTLT,PRICE,DIX,GEX,ADJCLOSESPX,VOLUMESPX
20110502,1361.22,1365.21,1370.58,1358.59,15.98,15.07,16.13,15.07,93.65,93.32,93.68,93.18,896300.0,1361.219971,0.3788420991568634,1897312571.486,1361.219971,3846250000
20110503,1356.62,1359.76,1360.84,1349.52,16.71,16.35,17.29,16.13,94.17,93.95,94.17,93.59,1094200.0,1356.619995,0.3834110799414632,1859730656.13,1356.619995,4223740000
20110504,1347.32,1355.9,1355.9,1341.5,17.11,16.84,17.72,16.83,94.61,94.31,94.71,94.3,1590100.0,1347.319946,0.3921217997918537,1717763844.535,1347.319946,4223740000
20110505,1335.1,1344.16,1348.0,1329.17,18.56,17.68,19.11,16.74,95.5,94.91,95.63,94.81,1825600.0,1335.099976,0.4054570196735625,1361864280.275,1335.099976,3846250000
20110506,1340.2,1340.24,1354.36,1335.58,18.36,17.17,19.29,16.12,95.07,94.52,95.49,94.36,1969500.0,1340.199951,0.4186486654525637,1490328625.98,1340.199951,4223740000
20110509,1346.29,1340.2,1349.44,1338.64,17.18,18.59,18.59,17.04,94.97,94.91,95.2,94.84,728700.0,1346.290039,0.4103205027781488,1677058729.04,1346.290039,4265250000
20110510,1357.16,1348.34,1359.44,1348.34,15.93,16.84,16.9,15.79,94.29,94.72,94.89,94.29,957200.0,1357.160034,0.3928514271714904,2034952130.69,1357.160034,4223740000
20110511,1342.08,1354.51,1354.51,1336.36,16.9,16.27,17.49,16.23,94.83,94.33,95.09,94.19,1380100.0,1342.079956,0.4008140977249443,1536770884.92,1342.079956,3846250000
20110512,1348.65,1339.39,1351.05,1332.03,16.08,17.27,17.89,16.07,94.23,94.95,95.1,93.92,1894100.0,1348.650024,0.3875339951676699,1674923266.095,1348.650024,3777210000
20110513,1337.77,1348.69,1350.47,1333.36,16.99,16.02,17.56,15.98,95.08,94.66,95.49,94.53,1853900.0,1337.77002,0.4055951917654673,1218149461.54,1337.77002,3426660000
20110516,1329.47,1334.77,1343.33,1327.32,17.99,17.86,18.1,16.61,95.61,95.03,95.78,94.76,1238200.0,1329.469971,0.389702743625763,779596412.269,1329.469971,3846250000
20110517,1328.98,1326.1,1330.42,1318.51,17.49,18.54,19.09,17.49,96.59,96.01,96.59,95.98,2269000.0,1328.97998,0.3947468322564728,841850592.0,1328.97998,4053970000
20110518,1340.68,1328.54,1341.82,1326.59,16.23,17.56,17.68,16.03,95.29,96.27,96.38,95.28,1566800.0,1340.680054,0.4023302249231638,1366160182.325,1340.680054,3922030000
20110519,1343.6,1342.4,1346.82,1336.36,15.6,15.9,16.56,15.55,95.27,94.47,95.32,94.47,1930300.0,1343.599976,0.3946342030319486,1543685364.78,1343.599976,3626110000
20110520,1333.27,1342.0,1342.0,1330.67,17.15,15.88,17.38,15.7,95.32,95.03,95.41,94.73,1437900.0,1333.27002,0.4132016164569771,1288076423.565,1333.27002,4066020000
