DATE,CLOSESPX,OPENSPX,HIGHSPX,LOWSPX,CLOSEVIX,OPENVIX,HIGHVIX,LOWVIX,CLOSETLT,OPENTLT,HIGHTLT,LOWTLT,VOLTLT,CLOSENASDAQ,OPENNASDAQ,HIGHNASDAQ,LOWNASDAQ,OPENXOI,CLOSEXOI,HIGHXOI,LOWXOI,PRICE,DIX,GEX,VOLUME,name,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
20110502,1361.22,1365.21,1370.58,1358.59,15.98,15.07,16.13,15.07,93.65,93.32,93.68,93.18,896300.0,2403.97,2410.24,2417.83,2397.48,1406.96,1393.99,1409.82,1387.21,1361.219971,0.3788420991568634,1897312571.486,3846250000,New York City,15.8,10.2,13.1,15.8,10.2,13.1,7.0,67.0,0.0,0,0.0,,0.0,0.0,29.5,15.0,139.4,1023.6,79.7,16.0,229.6,19.9,9,,20110502T05:53:43,20110502T19:52:59,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
20110503,1356.62,1359.76,1360.84,1349.52,16.71,16.35,17.29,16.13,94.17,93.95,94.17,93.59,1094200.0,2392.48,2401.8,2404.12,2377.33,1382.81,1358.93,1384.72,1348.79,1356.619995,0.3834110799414632,1859730656.13,4223740000,New York City,21.5,12.7,16.4,21.5,12.7,16.4,11.7,74.4,0.0,0,0.0,,0.0,0.0,27.7,18.0,103.6,1017.7,56.9,15.6,266.1,23.1,8,,20110503T05:52:28,20110503T19:54:01,0.0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,KTEB,KEWR,KLGA,72502014734,KNYC,72503014732"
20110504,1347.32,1355.9,1355.9,1341.5,17.11,16.84,17.72,16.83,94.61,94.31,94.71,94.3,1590100.0,2387.15,2392.16,2398.46,2367.68,1355.87,1334.84,1356.39,1324.04,1347.319946,0.3921217997918537,1717763844.535,4223740000,New York City,17.8,8.5,12.5,17.8,5.8,12.1,9.1,80.2,12.199,100,37.5,rain,0.0,0.0,46.4,23.3,302.2,1014.5,96.4,14.1,103.3,8.6,3,,20110504T05:51:15,20110504T19:55:03,0.05,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
20110505,1335.1,1344.16,1348.0,1329.17,18.56,17.68,19.11,16.74,95.5,94.91,95.63,94.81,1825600.0,2374.67,2376.46,2402.05,2366.73,1314.64,1302.07,1322.42,1289.51,1335.099976,0.4054570196735625,1361864280.275,3846250000,New York City,17.6,8.3,13.1,17.6,6.3,12.3,-0.4,43.7,0.0,0,0.0,,0.0,0.0,47.2,26.9,294.2,1014.3,43.7,16.0,287.9,25.1,8,,20110505T05:50:02,20110505T19:56:04,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
20110506,1340.2,1340.24,1354.36,1335.58,18.36,17.17,19.29,16.12,95.07,94.52,95.49,94.36,1969500.0,2383.01,2395.92,2411.63,2376.15,1314.05,1308.07,1335.66,1297.55,1340.199951,0.4186486654525637,1490328625.98,4223740000,New York City,20.7,10.5,15.8,20.7,10.5,15.8,1.5,38.9,0.0,0,0.0,,0.0,0.0,43.1,21.5,204.1,1013.3,27.7,16.0,280.2,24.1,8,,20110506T05:48:51,20110506T19:57:06,0.12,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
20110509,1346.29,1340.2,1349.44,1338.64,17.18,18.59,18.59,17.04,94.97,94.91,95.2,94.84,728700.0,2390.93,2384.2,2399.68,2376.96,1313.68,1329.31,1335.63,1308.69,1346.290039,0.4103205027781488,1677058729.04,4265250000,New York City,20.9,13.0,16.8,20.9,13.0,16.8,3.9,44.3,0.0,0,0.0,,0.0,0.0,40.7,24.6,6.8,1014.0,38.3,16.0,336.7,29.1,10,,20110509T05:45:26,20110509T20:00:09,0.23,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
20110510,1357.16,1348.34,1359.44,1348.34,15.93,16.84,16.9,15.79,94.29,94.72,94.89,94.29,957200.0,2411.15,2397.2,2414.58,2394.84,1331.7,1338.11,1342.63,1321.86,1357.160034,0.3928514271714904,2034952130.69,4223740000,New York City,22.9,12.3,16.5,22.9,12.3,16.5,3.9,45.0,0.0,0,0.0,,0.0,0.0,40.7,20.8,7.6,1014.9,21.1,16.0,338.0,29.1,10,,20110510T05:44:20,20110510T20:01:09,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
20110511,1342.08,1354.51,1354.51,1336.36,16.9,16.27,17.49,16.23,94.83,94.33,95.09,94.19,1380100.0,2393.05,2408.15,2415.9,2377.43,1328.03,1299.12,1328.03,1292.82,1342.079956,0.4008140977249443,1536770884.92,3846250000,New York City,20.7,11.6,15.6,20.7,11.6,15.6,7.9,61.4,0.0,0,0.0,,0.0,0.0,36.9,19.2,31.4,1018.0,45.0,16.0,323.0,28.0,9,,20110511T05:43:16,20110511T20:02:09,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
20110512,1348.65,1339.39,1351.05,1332.03,16.08,17.27,17.89,16.07,94.23,94.95,95.1,93.92,1894100.0,2407.81,2384.14,2410.45,2372.19,1289.3,1292.16,1298.93,1271.22,1348.650024,0.3875339951676699,1674923266.095,3777210000,New York City,22.4,12.1,15.8,22.4,12.1,15.8,8.3,62.6,0.0,0,0.0,,0.0,0.0,35.3,18.1,125.0,1017.5,43.2,16.0,320.0,27.6,9,,20110512T05:42:13,20110512T20:03:09,0.33,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
20110513,1337.77,1348.69,1350.47,1333.36,16.99,16.02,17.56,15.98,95.08,94.66,95.49,94.53,1853900.0,2379.36,2403.06,2406.01,2378.76,1296.09,1282.24,1297.54,1269.76,1337.77002,0.4055951917654673,1218149461.54,3426660000,New York City,18.5,11.3,14.7,18.5,11.3,14.7,8.9,69.2,0.0,0,0.0,,0.0,0.0,,12.8,162.0,1014.0,79.5,16.0,330.8,28.6,10,,20110513T05:41:12,20110513T20:04:08,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
